"Genus.species"	"Biomod.name"	"gbif.data"	"GBIF"	"Hulten.data"	"Hulten"	"Biosci.ID"	"Bioscience"	"USGS"	"USGS.1"	"total.occ"	"data"	"Priority"	"Priority.PAF"	"Arctic.Shrubs"	"Arctic.Trees"	"Growthform.manual"	"Growth.form.TRY"	"Growth.form.height"	"All.height.median"	"Mig.rate.m.yr"	"Mig.rate.ref"	"Run"	"Rerun"	"Seed.Mass.Median"	"Growth.form.isla"
"Andromeda glaucophylla"	"Andromeda.glaucophylla"	1	76	1	17978	1	2	NA	0	18056	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	0.7	NA	""	1	NA	0.204708334	"Tall Shrubs"
"Andromeda polifolia"	"Andromeda.polifolia"	1	35582	1	102067	1	3	NA	0	137652	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.28125	NA	""	1	NA	0.204708334	"Low Shrubs"
"Arctostaphylos uva-ursi"	"Arctostaphylos.uvaursi"	1	19704	1	89636	1	14	NA	0	109354	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.4	NA	""	1	NA	10.95802134	"Low Shrubs"
"Arctous alpina"	"Arctous.alpina"	1	4416	1	22426	1	32	NA	0	26874	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.2	NA	""	1	NA	67.87722805	"Low Shrubs"
"Arctous rubra"	"Arctous.rubra"	1	353	1	75363	NA	0	NA	0	75716	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.2	NA	""	1	NA	2.23	"Low Shrubs"
"Artemisia arctica"	"Artemisia.arctica"	1	423	1	3774	NA	0	NA	0	4197	1	4	1	1	NA	"SUBSHRUB"	"NA,shrub"	"SHRUB"	0.6	NA	""	1	NA	0.317101463	"Tall Shrubs"
"Artemisia canadensis"	"Artemisia.canadensis"	1	22	1	81184	NA	0	NA	0	81206	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	0.6	NA	""	1	NA	0.266458176	"Tall Shrubs"
"Artemisia comata"	"Artemisia.comata"	1	31	1	3128	NA	0	NA	0	3159	1	4	1	1	NA	"SUBSHRUB"	NA	"SHRUB"	0.6	NA	""	1	NA	0.266458176	"Tall Shrubs"
"Artemisia dracunculus"	"Artemisia.dracunculus"	1	1234	1	138013	NA	0	NA	0	139247	1	4	1	1	NA	"SUBSHRUB"	NA	"SHRUB"	1.5	NA	""	1	NA	0.266458176	"Tall Shrubs"
"Artemisia frigida"	"Artemisia.frigida"	1	92	1	90326	NA	0	NA	0	90418	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.6	NA	""	1	1	0.266458176	"Tall Shrubs"
