"Genus.species"	"Biomod.name"	"gbif.data"	"GBIF"	"Hulten.data"	"Hulten"	"Biosci.ID"	"Bioscience"	"USGS"	"USGS.1"	"total.occ"	"rerun1.leave.out0"	"data"	"Priority"	"Priority.PAF"	"Arctic.Shrubs"	"Arctic.Trees"	"Growthform.manual"	"Growth.form.TRY"	"Growth.form.height"	"All.height.median"	"Mig.rate.m.yr"	"Mig.rate.ref"	"Run"	"Rerun"	"Seed.Mass.Median"
"Amelanchier alnifolia"	"Amelanchier.alnifolia"	1	1804	1	42966	NA	0	NA	0	44770	1	1	4	1	1	1	"SHRUB, TREE"	NA	"TREE"	7	NA	NA	1	NA	NA
"Andromeda polifolia"	"Andromeda.polifolia"	1	35582	1	102067	1	3	NA	0	137652	1	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.28125	NA	NA	1	NA	0.204708334
"Artemisia comata"	"Artemisia.comata"	1	31	1	3128	NA	0	NA	0	3159	1	1	4	1	1	NA	"SUBSHRUB"	NA	"SHRUB"	0.6	NA	NA	1	NA	0.266458176
"Artemisia norvegica"	"Artemisia.norvegica"	1	982	1	20244	NA	0	NA	0	21226	1	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	"SHRUB"	0.6	NA	NA	1	NA	0.266458176
"Betula papyrifera"	"Betula.papyrifera"	1	701	1	71965	NA	0	NA	0	72666	1	1	2	1	NA	1	"TREE"	NA	"TREE"	30	450	"Normand.etal.2013.REST "	NA	1	0.219966667
"Betula pubescens"	"Betula.pubescens"	1	45625	1	11860	1	60	NA	0	57545	1	1	1	1	1	1	"SHRUB, TREE"	"tree"	"TREE"	20	450	"Normand.etal.2013.REST "	1	NA	0.219966667
"Calluna vulgaris"	"Calluna.vulgaris"	1	62903	1	58872	NA	0	NA	0	121775	1	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.826	2	"Normand.etal.2013.REST "	1	NA	0.0345
"Juniperus horizontalis"	"Juniperus.horizontalis"	1	304	1	44245	NA	0	NA	0	44549	1	1	2	1	1	NA	"SUBSHRUB"	NA	"TREE"	7.5675	138	NA	1	NA	8.883875
"Kalmia polifolia"	"Kalmia.polifolia"	1	882	1	70454	NA	0	NA	0	71336	1	1	4	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.7	NA	NA	1	NA	0.012019324
"Larix laricina"	"Larix.laricina"	1	794	NA	0	NA	0	1	58925	59719	1	1	4	1	NA	1	"TREE"	NA	"TREE"	20	170	"Normand.etal.2013.REST "	NA	1	6.345895542
"Picea abies"	"Picea.abies"	1	43640	1	123058	NA	0	NA	0	166698	1	1	3	1	NA	1	"TREE"	"tree"	"TREE"	50	60	"Normand.etal.2013.REST "	NA	1	6.563405489
"Picea mariana"	"Picea.mariana"	1	499	NA	0	NA	0	1	68040	68539	1	1	4	1	NA	1	"TREE"	NA	"TREE"	25	60	"Normand.etal.2013.REST "	NA	1	4.919825988
"Populus tremuloides"	"Populus.tremuloides"	1	1390	1	73904	NA	0	NA	0	75294	1	1	4	1	NA	1	"TREE"	NA	"TREE"	35	310	"Normand.etal.2013.REST "	NA	1	1.193333333
"Prunus pensylvanica"	"Prunus.pensylvanica"	1	536	NA	0	NA	0	1	45622	46158	1	1	4	1	1	1	"SHRUB, TREE"	NA	"TREE"	16	NA	NA	NA	1	NA
"Rhododendron groenlandicum"	"Rhododendron.groenlandicum"	1	861	1	87468	1	175	NA	0	88504	1	1	3	1	1	NA	"SHRUB"	"shrub"	"SHRUB"	0.95	2	NA	1	NA	0.0295
"Ribes glandulosum"	"Ribes.glandulosum"	1	443	1	69698	NA	0	NA	0	70141	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	1	NA	NA	1	NA	NA
"Salix arbusculoides"	"Salix.arbusculoides"	1	713	1	41958	NA	0	NA	0	42671	1	1	1	1	1	1	"SHRUB, TREE"	NA	"TREE"	6.024	287	"Normand.etal.2013.REST "	1	NA	0.18115942
"Salix bebbiana"	"Salix.bebbiana"	1	1222	1	1809	NA	0	NA	0	3031	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	7	287	"Normand.etal.2013.REST "	1	NA	0.18115942
"Salix interior"	"Salix.interior"	1	614	1	64651	NA	0	NA	0	65265	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	9	287	NA	1	NA	0.18115942
"Salix udensis"	"Salix.udensis"	1	322	NA	0	NA	0	NA	0	322	1	1	2	1	1	NA	"SHRUB"	NA	"TREE"	4.572	287	NA	NA	1	0.224083334
"Spiraea betulifolia"	"Spiraea.betulifolia"	1	317	1	34226	NA	0	NA	0	34543	1	1	3	1	1	NA	"SHRUB"	NA	"SHRUB"	0.9144	NA	NA	1	NA	0.279138486
"Prunus padus"	"Prunus.padus"	1	36108	1	116155	NA	0	NA	0	152263	1	1	4	1	1	1	"SHRUB, TREE"	NA	"TREE"	15	NA	NA	1	NA	NA
"Artemisia arctica"	"Artemisia.arctica"	1	423	1	3774	NA	0	NA	0	4197	1	1	4	1	1	NA	"SUBSHRUB"	"NA,shrub"	"SHRUB"	0.6	NA	NA	1	NA	0.317101463
"Betula pendula"	"Betula.pendula"	1	57780	1	130291	NA	0	NA	0	188071	1	1	2	1	NA	1	"TREE"	NA	"TREE"	25	450	"Normand.etal.2013.REST "	NA	1	0.219966667
"Ribes nigrum"	"Ribes.nigrum"	1	22001	1	73907	NA	0	NA	0	95908	1	1	4	1	1	NA	"SHRUB"	NA	"SHRUB"	2	NA	NA	1	NA	NA
"Swida sericea"	"Swida.sericea"	1	4557	1	106008	NA	0	NA	0	110565	1	1	3	1	1	1	"SHRUB, TREE"	"shrub"	"SHRUB"	2.7432	NA	NA	1	NA	25.12450216
"Abies balsamea"	"Abies.balsamea"	1	758	NA	0	NA	0	1	33321	34079	1	1	4	1	NA	1	"TREE"	NA	"TREE"	23	200	"Normand.etal.2013.REST "	NA	1	NA
"Alnus incana"	"Alnus.incana"	1	31832	1	85838	NA	0	NA	0	117670	1	1	2	1	1	1	"SHRUB, TREE"	NA	"TREE"	25	95	"Normand.etal.2013.REST "	1	NA	8.206303428
