Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	All.height.median	Run	Rerun
Abies balsamea	Abies.balsamea	1	758	NA	0	NA	0	1	33321	34079	1	4	1	NA	1	TREE	NA	23	NA	1
Alnus incana	Alnus.incana	1	31832	1	85838	NA	0	NA	0	117670	1	2	1	1	1	"SHRUB, TREE"	NA	25	1	NA
Alnus viridis	Alnus.viridis	1	1432	1	4108	1	53	NA	0	5593	1	1	1	1	1	"SHRUB, TREE"	tree	5.9375	1	NA
Amelanchier alnifolia	Amelanchier.alnifolia	1	1804	1	42966	NA	0	NA	0	44770	1	4	1	1	1	"SHRUB, TREE"	NA	7	1	NA
Amelanchier bartramiana	Amelanchier.bartramiana	1	537	NA	0	NA	0	NA	0	537	1	4	1	1	NA	SHRUB	NA	5	NA	1
Andromeda glaucophylla	Andromeda.glaucophylla	1	76	1	17978	1	2	NA	0	18056	1	4	1	1	NA	SHRUB	NA	0.7	1	NA
Andromeda polifolia	Andromeda.polifolia	1	35582	1	102067	1	3	NA	0	137652	1	3	1	1	NA	SHRUB	shrub	0.28125	1	NA
Arctostaphylos uva-ursi	Arctostaphylos.uva-ursi	1	19704	1	89636	1	14	NA	0	109354	1	3	1	1	NA	SHRUB	shrub	0.4	1	NA
Arctous alpina	Arctous.alpina	1	4416	1	22426	1	32	NA	0	26874	1	3	1	1	NA	SHRUB	shrub	0.2	1	NA
Arctous rubra	Arctous.rubra	1	353	1	75363	NA	0	NA	0	75716	1	3	1	1	NA	SHRUB	NA	0.2	1	NA
Artemisia arctica	Artemisia.arctica	1	423	1	3774	NA	0	NA	0	4197	1	4	1	1	NA	SUBSHRUB	"NA,shrub"	NA	1	NA
Artemisia canadensis	Artemisia.canadensis	1	22	1	81184	NA	0	NA	0	81206	1	4	1	1	NA	SHRUB	NA	0.6	1	NA
Artemisia comata	Artemisia.comata	1	31	1	3128	NA	0	NA	0	3159	1	4	1	1	NA	SUBSHRUB	NA	NA	1	NA
Artemisia dracunculus	Artemisia.dracunculus	1	1234	1	138013	NA	0	NA	0	139247	1	4	1	1	NA	SUBSHRUB	NA	1.5	1	NA
Artemisia frigida	Artemisia.frigida	1	92	1	90326	NA	0	NA	0	90418	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	0.6	1	1
Artemisia globularia	Artemisia.globularia	1	86	1	10134	NA	0	NA	0	10220	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	0.16	1	NA
Artemisia glomerata	Artemisia.glomerata	1	112	1	16900	NA	0	NA	0	17012	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	0.5	1	NA
Artemisia gmelinii	Artemisia.gmelinii	1	893	NA	0	NA	0	NA	0	893	1	4	1	1	NA	SUBSHRUB	NA	1	NA	1
Artemisia norvegica	Artemisia.norvegica	1	982	1	20244	NA	0	NA	0	21226	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	0.6	1	NA
Artemisia senjavinensis	Artemisia.senjavinensis	1	150	1	1006	NA	0	NA	0	1156	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	0.9	1	NA
Artemisia sericea	Artemisia.sericea	1	2	NA	0	NA	0	NA	0	2	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	0.6	NA	1
Betula divaricata	Betula.divaricata	1	12	NA	0	NA	0	NA	0	12	1	2	1	1	NA	SHRUB	NA	NA	NA	1
Betula fruticosa	Betula.fruticosa	1	188	1	22388	NA	0	NA	0	22576	1	2	1	1	NA	SHRUB	NA	3	1	NA
Betula glandulosa	Betula.glandulosa	1	885	1	93518	1	150	NA	0	94553	1	1	1	1	NA	SHRUB	shrub	2.25	1	NA
Betula kenaica	Betula.kenaica	1	58	NA	0	NA	0	NA	0	58	1	2	1	NA	1	TREE	NA	12	NA	1
Betula minor	Betula.minor	1	71	NA	0	NA	0	NA	0	71	1	2	1	1	NA	SHRUB	NA	5	NA	1
Betula nana	Betula.nana	1	30738	1	89412	1	232	NA	0	120382	1	1	1	1	NA	SHRUB	tree	0.455825	1	NA
Betula neoalaskana	Betula.neoalaskana	1	97	NA	0	NA	0	NA	0	97	1	2	1	NA	1	TREE	NA	25	NA	1
Betula papyrifera	Betula.papyrifera	1	701	1	71965	NA	0	NA	0	72666	1	2	1	NA	1	TREE	NA	30	NA	1
Betula pendula	Betula.pendula	1	57780	1	130291	NA	0	NA	0	188071	1	2	1	NA	1	TREE	NA	25	NA	1
Betula platyphylla	Betula.platyphylla	1	124	1	56635	NA	0	NA	0	56759	1	2	1	NA	1	TREE	NA	30	NA	1
Betula pubescens	Betula.pubescens	1	45625	1	11860	1	60	NA	0	57545	1	1	1	1	1	"SHRUB, TREE"	tree	20	1	NA
Betula pubescens	Betula.pubescens	1	45625	1	11860	NA	60	NA	0	57545	1	1	1	1	1	"SHRUB, TREE"	tree	20	1	NA
Betula pumila	Betula.pumila	1	328	NA	0	NA	0	NA	0	328	1	2	1	1	NA	SHRUB	NA	4	NA	1
Calluna vulgaris	Calluna.vulgaris	1	62903	1	58872	NA	0	NA	0	121775	1	3	1	1	NA	SHRUB	shrub	0.826	1	NA
Caragana jubata	Caragana.jubata	1	66	NA	0	NA	0	NA	0	66	1	4	1	1	NA	SHRUB	NA	2	NA	1
Cassiope ericoides	Cassiope.ericoides	1	2	NA	0	NA	0	NA	0	2	1	2	1	1	NA	SHRUB	NA	NA	NA	1
Cassiope lycopodioides	Cassiope.lycopodioides	1	127	1	11725	NA	0	NA	0	11852	1	2	1	1	NA	SHRUB	NA	NA	1	NA
Cassiope tetragona	Cassiope.tetragona	1	1418	1	7995	1	387	NA	0	9800	1	1	1	1	NA	SHRUB	shrub	0.103653333	1	NA
Chamaedaphne calyculata	Chamaedaphne.calyculata	1	3510	1	154196	NA	0	NA	0	157706	1	4	1	1	NA	SHRUB	NA	1.5	1	NA
Chamaepericlymenum canadense	Chamaepericlymenum.canadense	1	29	1	110709	1	7	NA	0	110745	1	4	1	1	NA	"SUBSHRUB, HERB"	NA	0.2	1	NA
Chamaepericlymenum unalaschkense	Chamaepericlymenum.unalaschkense	NA	0	1	241	NA	0	NA	0	241	1	4	1	1	NA	SUBSHRUB 	NA	0.2	1	NA
