"Genus.species"	"Order"	"Family"	"DS"	"log10MDD_Family"	"log10MDD_Family_lwrCL"	"log10MDD_Family_uppCL"	"log10MDD_Order"	"log10MDD_Order_lwrCL"	"log10MDD_Order_uppCL"	"log10MDD"	"log10MDD_lwrCL"	"log10MDD_uppCL"	"log10MDD_measured"	"Biomod.name"
"Abies balsamea"	"Pinales"	"Pinaceae"	"wind.special"	2.67522850397257	2.19573524587323	3.15472176207191	2.38998701012582	1.91049375202648	2.86948026822515	2.46609909230956	2.08440441300851	2.84779377161061	NA	"Abies.balsamea"
"Alnus incana"	"Fagales"	"Betulaceae"	"wind.special"	2.46461996517428	1.9857647203795	2.94347520996906	2.21449240842636	1.73563716363158	2.69334765322114	2.47762944459149	2.09730809230644	2.85795079687653	NA	"Alnus.incana"
"Alnus viridis"	"Fagales"	"Betulaceae"	"wind.special"	2.2077850339352	1.68004195044137	2.73552811742903	1.95765747718727	1.42991439369345	2.4854005606811	2.0977238559978	1.65007881887911	2.5453688931165	1.8451	"Alnus.viridis"
"Amelanchier alnifolia"	"Rosales"	"Rosaceae"	"animal"	2.98516932173786	2.3487369813622	3.62160166211352	3.13631685578815	2.49988451541249	3.77274919616381	3.20800492597547	2.65639193591833	3.75961791603262	NA	"Amelanchier.alnifolia"
"Amelanchier bartramiana"	"Rosales"	"Rosaceae"	"animal"	2.92505624033385	2.2745096812109	3.57560279945681	3.07620377438414	2.42565721526119	3.7267503335071	3.11908674236707	2.55128034921108	3.68689313552306	NA	"Amelanchier.bartramiana"
"Andromeda glaucophylla"	"Ericales"	"Ericaceae"	"animal"	3.05376242822396	2.24448382955002	3.8630410268979	3.01668695225398	2.20740835358005	3.82596555092792	2.92457441243134	2.17151206075006	3.67763676411263	NA	"Andromeda.glaucophylla"
"Andromeda polifolia"	"Ericales"	"Ericaceae"	"wind.none"	0.442949644114464	-0.388286773734816	1.27418606196374	0.40587416814449	-0.42536224970479	1.23711058599377	0.294153016855691	-0.454216465791744	1.04252249950313	NA	"Andromeda.polifolia"
"Arctostaphylos uva-ursi"	"Ericales"	"Ericaceae"	"animal"	2.55442569318505	1.70199529101954	3.40685609535057	2.51735021721508	1.66491981504957	3.36978061938059	2.23195233640249	1.45122775611753	3.01267691668745	NA	"Arctostaphylos.uvaursi"
"Arctous alpina"	"Ericales"	"Ericaceae"	"animal"	2.24761634681997	1.28820479536793	3.20702789827201	2.21054087084999	1.25112931939795	3.16995242230204	1.7991957480296	0.91945186920766	2.67893962685153	NA	"Arctous.alpina"
"Arctous rubra"	"Ericales"	"Ericaceae"	"animal"	2.59033056007172	1.69982467048147	3.48083644966198	2.55325508410175	1.6627491945115	3.443760973692	2.26666734981351	1.44840106453878	3.08493363508823	NA	"Arctous.rubra"
"Artemisia arctica"	"Asterales"	"Compositae"	"animal"	3.24575517304841	2.43451263571521	4.0569977103816	3.12438086437084	2.31313832703765	3.93562340170403	2.82394294049543	2.07150351866696	3.57638236232389	NA	"Artemisia.arctica"
"Artemisia canadensis"	"Asterales"	"Compositae"	"animal"	3.26321391740904	2.45009164383641	4.07633619098167	3.14183960873147	2.32871733515884	3.9549618823041	2.84775714742301	2.09287164338036	3.60264265146565	NA	"Artemisia.canadensis"
"Artemisia comata"	"Asterales"	"Compositae"	"animal"	3.26321391740904	2.45009164383641	4.07633619098167	3.14183960873147	2.32871733515884	3.9549618823041	2.84775714742301	2.09287164338036	3.60264265146565	NA	"Artemisia.comata"
"Artemisia dracunculus"	"Asterales"	"Compositae"	"animal"	3.42691556454542	2.64564445366946	4.20818667542138	3.30554125586785	2.52427014499189	4.08681236674381	3.08990166533989	2.35960458230812	3.82019874837165	NA	"Artemisia.dracunculus"
"Artemisia frigida"	"Asterales"	"Compositae"	"animal"	3.26321391740904	2.45009164383641	4.07633619098167	3.14183960873147	2.32871733515884	3.9549618823041	2.84775714742301	2.09287164338036	3.60264265146565	NA	"Artemisia.frigida"
"Artemisia globularia"	"Asterales"	"Compositae"	"animal"	3.02707313745264	2.12203087951046	3.93211539539483	2.90569882877507	2.00065657083289	3.81074108671726	2.49846197340792	1.66049844049006	3.33642550632579	NA	"Artemisia.globularia"
"Artemisia glomerata"	"Asterales"	"Compositae"	"animal"	3.23064091613876	2.40783700373923	4.05344482853829	3.10926660746119	2.28646269506166	3.93207051986072	2.79957575262539	2.03635110248108	3.56280040276971	NA	"Artemisia.glomerata"
"Artemisia gmelinii"	"Asterales"	"Compositae"	"animal"	3.35447643168426	2.56268886577174	4.14626399759679	3.2331021230067	2.44131455709417	4.02488968891922	2.98275100918083	2.24524416285058	3.72025785551108	NA	"Artemisia.gmelinii"
"Artemisia norvegica"	"Asterales"	"Compositae"	"animal"	3.26321391740904	2.45009164383641	4.07633619098167	3.14183960873147	2.32871733515884	3.9549618823041	2.84775714742301	2.09287164338036	3.60264265146565	NA	"Artemisia.norvegica"
"Artemisia senjavinensis"	"Asterales"	"Compositae"	"animal"	3.33565305022906	2.54018657631822	4.1311195241399	3.21427874155149	2.41881226764065	4.00974521546233	2.95490780352122	2.2145596169081	3.69525599013433	NA	"Artemisia.senjavinensis"
"Betula fruticosa"	"Fagales"	"Betulaceae"	"wind.special"	2.49575618722356	1.80143524404814	3.19007713039899	2.24562863047564	1.55130768730021	2.93994957365107	2.31898247418653	1.67490334525949	2.96306160311358	NA	"Betula.fruticosa"
"Betula glandulosa"	"Fagales"	"Betulaceae"	"wind.special"	2.46782687276474	1.76925510457442	3.16639864095505	2.21769931601681	1.5191275478265	2.91627108420713	2.27496759952772	1.62837636501589	2.92155883403955	NA	"Betula.glandulosa"
"Betula kenaica"	"Fagales"	"Betulaceae"	"wind.special"	2.69662198331747	2.10958285907081	3.28366110756412	2.44649442656954	1.85945530232289	3.0335335508162	2.77898652295728	2.27217196871079	3.28580107720377	NA	"Betula.kenaica"
"Betula minor"	"Fagales"	"Betulaceae"	"wind.special"	2.57047977386814	1.95048709073047	3.19047245700582	2.32035221712022	1.70035953398254	2.9403449002579	2.58891394632077	2.03943400296209	3.13839388967946	NA	"Betula.minor"
"Betula nana"	"Fagales"	"Betulaceae"	"wind.special"	2.14011492340081	1.37021290601011	2.91001694079152	1.88998736665289	1.12008534926218	2.65988938404359	1.79511291130391	1.08589501788006	2.50433080472775	NA	"Betula.nana"
"Betula neoalaskana"	"Fagales"	"Betulaceae"	"wind.special"	2.8277506292247	2.23059281808222	3.42490844036719	2.57762307247678	1.98046526133429	3.17478088361926	2.97294964613739	2.46122678749603	3.48467250477875	NA	"Betula.neoalaskana"
"Betula papyrifera"	"Fagales"	"Betulaceae"	"wind.special"	2.86032363045385	2.25670444331755	3.46394281759014	2.61019607370592	2.00657688656963	3.21381526084222	3.02113104087416	2.50382989714339	3.53843218460493	NA	"Betula.papyrifera"
"Betula pendula"	"Fagales"	"Betulaceae"	"wind.special"	2.8277506292247	2.23059281808222	3.42490844036719	2.57762307247678	1.98046526133429	3.17478088361926	2.97294964613739	2.46122678749603	3.48467250477875	NA	"Betula.pendula"
"Betula platyphylla"	"Fagales"	"Betulaceae"	"wind.special"	2.86032363045385	2.25670444331755	3.46394281759014	2.61019607370592	2.00657688656963	3.21381526084222	3.02113104087416	2.50382989714339	3.53843218460493	NA	"Betula.platyphylla"
"Betula pubescens"	"Fagales"	"Betulaceae"	"wind.special"	2.78788449763383	2.19653726666922	3.37923172859843	2.5377569408859	1.9464097099213	3.12910417185051	2.91398038477595	2.40676140509602	3.42119936445589	NA	"Betula.pubescens"
"Betula pumila"	"Fagales"	"Betulaceae"	"wind.special"	2.53061364227727	1.9001533501448	3.16107393440974	2.28048608552934	1.65002579339687	2.91094637766182	2.52994468495933	1.96764215239769	3.09224721752098	NA	"Betula.pumila"
"Calluna vulgaris"	"Ericales"	"Ericaceae"	"animal"	3.26199194742411	2.42117039110533	4.10281350374289	3.22491647145414	2.38409491513536	4.06573802777292	3.21201034811335	2.42046985042446	4.00355084580224	NA	"Calluna.vulgaris"
"Caragana jubata"	"Fabales"	"Leguminosae"	"animal"	3.13662389895191	2.35591061018027	3.91733718772355	3.29463841477436	2.51392512600272	4.075351703546	3.1896302707353	2.4569979227239	3.9222626187467	NA	"Caragana.jubata"
"Cassiope lycopodioides"	"Ericales"	"Ericaceae"	"animal"	2.75928168044318	1.81120599254723	3.70735736833913	2.72220620447321	1.77413051657726	3.67028189236915	2.48359930930529	1.6026650184401	3.36453360017049	NA	"Cassiope.lycopodioides"
"Cassiope tetragona"	"Ericales"	"Ericaceae"	"animal"	2.75928168044318	1.81120599254723	3.70735736833913	2.72220620447321	1.77413051657726	3.67028189236915	2.48359930930529	1.6026650184401	3.36453360017049	NA	"Cassiope.tetragona"
"Chamaedaphne calyculata"	"Ericales"	"Ericaceae"	"wind.none"	0.804335721761109	0.0613763686822559	1.54729507483996	0.767260245791135	0.0243008927122813	1.51021959886999	0.821532499876929	0.144779482549215	1.49828551720464	NA	"Chamaedaphne.calyculata"
"Chamaepericlymenum canadense"	"Cornales"	"Cornaceae"	"animal"	NA	NA	NA	NA	NA	NA	1.93521474311407	1.08108074253656	2.78934874369159	NA	"Chamaepericlymenum.canadense"
"Chamaepericlymenum unalaschkense"	"Cornales"	"Cornaceae"	"animal"	NA	NA	NA	NA	NA	NA	1.93521474311407	1.08108074253656	2.78934874369159	NA	"Chamaepericlymenum.unalaschkense"
"Cotoneaster niger"	"Rosales"	"Rosaceae"	"animal"	3.04353469088599	2.28104730355177	3.8060220782202	3.19468222493628	2.43219483760206	3.95716961227049	3.10893723031096	2.39544131090536	3.82243314971656	NA	"Cotoneaster.niger"
"Dasiphora fruticosa"	"Rosales"	"Rosaceae"	"animal"	2.9145684955825	2.11169707813233	3.71743991303266	3.06571602963279	2.26284461218262	3.86858744708295	2.90825430045871	2.16188908970244	3.65461951121497	NA	"Dasiphora.fruticosa"
"Diapensia lapponica"	"Ericales"	"Diapensiaceae"	"animal"	NA	NA	NA	2.54975953697491	1.49873678949055	3.60078228445927	2.2277328781027	1.24888553412141	3.20658022208399	NA	"Diapensia.lapponica"
"Diapensia obovata"	"Ericales"	"Diapensiaceae"	"animal"	NA	NA	NA	2.59878956871385	1.57757354317733	3.62000559425038	2.30025721494695	1.34984055074874	3.25067387914516	NA	"Diapensia.obovata"
"Dryas ajanensis"	"Rosales"	"Rosaceae"	"wind.none"	-0.0323379998881168	-1.00752504597439	0.942849046198155	0.118809534162173	-0.856377511924099	1.09399658024845	-0.209392374324756	-1.09293442784232	0.674149679192813	NA	"Dryas.ajanensis"
"Dryas drummondii"	"Rosales"	"Rosaceae"	"wind.none"	-0.0323379998881168	-1.00752504597439	0.942849046198155	0.118809534162173	-0.856377511924099	1.09399658024845	-0.209392374324756	-1.09293442784232	0.674149679192813	NA	"Dryas.drummondii"
