Genus.species	Biomod.name	gbif.data	GBIF	Hulten.data	Hulten	Biosci.ID	Bioscience	USGS	USGS.1	total.occ	data	Priority	Priority.PAF	Arctic.Shrubs	Arctic.Trees	Growthform.manual	Growth.form.TRY	Growth.form.height	All.height.median	Mig.rate.m.yr	Mig.rate.ref	Run	Rerun	Seed.Mass.Median	Seed.Mass.Median.Kew	DISP	DISP_INDK	DISP_VITTOZ	DISP_KEW	Complement_info	DISP_INDKMAN	VEGDISP_INDKMAN	DISP_TRY	Species	DS	GF	RH	SM.kew	SM.try	TV
Abies balsamea	Abies.balsamea	1	758	NA	0	NA	0	1	33321	34079	1	4	1	NA	1	TREE	NA	TREE	23	200	Normand.etal.2013.REST 	NA	1	NA	7.6	NA	NA	NA	Wind Spe	NA	NA	NA	NA	Abies balsamea	wind.special	tree	1.361727836	0.8808135923	#VALEUR !	
Alnus incana	Alnus.incana	1	31832	1	85838	NA	0	NA	0	117670	1	2	1	1	1	SHRUB, TREE	NA	TREE	25	95	Normand.etal.2013.REST 	1	NA	8.206303428	1.5	Wind dispersal	dysochory	4	Wind Spe	NA	me dy	sr	NA	Alnus incana	wind.special	tree	1.3979400087	0.1760912591	0.914147571	
Alnus viridis	Alnus.viridis	1	1432	1	4108	1	53	NA	0	5593	1	1	1	1	1	SHRUB, TREE	tree	TREE	5.9375	95	Normand.etal.2013.REST 	1	NA	8.206303428	NA	NA	NA	NA	Wind Spe	NA	me dy	sr	Wind	Alnus viridis	wind.special	tree	0.7736036226	#VALEUR !	0.914147571	
Amelanchier alnifolia	Amelanchier.alnifolia	1	1804	1	42966	NA	0	NA	0	44770	1	4	1	1	1	SHRUB, TREE	NA	TREE	7	NA		1	NA	NA	5.9	NA	NA	NA	Animal	NA	NA	NA	NA	Amelanchier alnifolia	animal	tree	0.84509804	0.7708520116	#VALEUR !	
Amelanchier bartramiana	Amelanchier.bartramiana	1	537	NA	0	NA	0	NA	0	537	1	4	1	1	NA	SHRUB	NA	TREE	5	NA		NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Amelanchier bartramiana	NA	tree	0.6989700043	#VALEUR !	#VALEUR !	
Andromeda glaucophylla	Andromeda.glaucophylla	1	76	1	17978	1	2	NA	0	18056	1	4	1	1	NA	SHRUB	NA	SHRUB	0.7	NA		1	NA	0.204708334	NA	NA	NA	NA	Animal	NA	NA	NA	NA	Andromeda glaucophylla	animal	shrub	-0.15490196	#VALEUR !	-0.6888644762	
Andromeda polifolia	Andromeda.polifolia	1	35582	1	102067	1	3	NA	0	137652	1	3	1	1	NA	SHRUB	shrub	SHRUB	0.28125	NA		1	NA	0.204708334	NA	Unassisted dispersal	boleochory	1	NA	NA	bo	au	NA	Andromeda polifolia	wind.none	shrub	-0.5509074689	#VALEUR !	-0.6888644762	
Arctostaphylos uva-ursi	Arctostaphylos.uvaursi	1	19704	1	89636	1	14	NA	0	109354	1	3	1	1	NA	SHRUB	shrub	SHRUB	0.4	NA		1	NA	10.95802134	NA	Endozoochory	dysochory	6	Animal	NA	en dy	kt	NA	Arctostaphylos uva-ursi	animal	shrub	-0.3979400087	#VALEUR !	1.0397321419	
Arctous alpina	Arctous.alpina	1	4416	1	22426	1	32	NA	0	26874	1	3	1	1	NA	SHRUB	shrub	SHRUB	0.2	NA		1	NA	67.87722805	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctous alpina	NA	shrub	-0.6989700043	#VALEUR !	1.8317240984	
Arctous rubra	Arctous.rubra	1	353	1	75363	NA	0	NA	0	75716	1	3	1	1	NA	SHRUB	NA	SHRUB	0.2	NA		1	NA	2.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	Arctous rubra	NA	shrub	-0.6989700043	#VALEUR !	0.348304863	
